iso3,ADMIN0,ADMIN1,centroid_lat,centroid_lon
IDN,Indonesia,Nusa Tenggara Timur,-9.256877366890324,122.21445312399068
IDN,Indonesia,Papua,-4.663349600231131,138.69314119559183
IDN,Indonesia,Papua Barat,-2.0465413143805176,132.9807856463521
IDN,Indonesia,Riau,0.5049042059021235,101.78441312381383
IDN,Indonesia,Sulawesi Barat,-2.4484386353356764,119.36249416830672
IDN,Indonesia,Sulawesi Selatan,-3.6993624487093366,120.1542639131948
IDN,Indonesia,Sulawesi Tengah,-1.0198611154500186,121.18317088499282
IDN,Indonesia,Sulawesi Tenggara,-4.092084778023734,122.05796057973193
IDN,Indonesia,Sulawesi Utara,1.2719626288865762,124.54686511432304
IDN,Indonesia,Sumatera Barat,-0.8192624606206007,100.49171890285328
IDN,Indonesia,Sumatera Selatan,-3.2187640625962715,104.16580533493592
IDN,Indonesia,Sumatera Utara,2.189162534427261,99.04620365574203
IDN,Indonesia,Yogyakarta,-7.865648753391977,110.44041271151212
IND,India,Andaman and Nicobar,11.07145820911743,92.99236580105207
IND,India,Andhra Pradesh,15.69538151981193,79.92545225580562
IND,India,Arunachal Pradesh,27.636088524005338,96.08874348711863
IND,India,Assam,26.34528181705082,92.78343596710248
IND,India,Bihar,25.68110471064216,85.60669638927365
IND,India,Chandigarh,30.74072316973869,76.76726297241832
IND,India,Chhattisgarh,21.27142053190899,82.03072082321114
IND,India,Dadra and Nagar Haveli,20.195500823087183,73.07234819268794
IND,India,Daman and Diu,20.47958893401456,72.4315105453603
IND,India,Goa,15.355570914309665,74.03433657264453
IND,India,Gujarat,22.70170216863237,71.60830892243852
IND,India,Haryana,29.180030660503533,76.33568643549818
IND,India,Himachal Pradesh,31.93797596770171,77.21301599981184
IND,India,Jammu and Kashmir,33.77354089679201,76.55445002010146
IND,India,Jharkhand,23.65926114633362,85.54982724648289
IND,India,Karnataka,14.715264562892088,76.16567039280072
IND,India,Kerala,10.47060024702454,76.39950883535263
IND,India,Lakshadweep,10.461139279007408,72.91111680058853
IND,India,Madhya Pradesh,23.52816888012643,78.28307388235916
IND,India,Maharashtra,19.455653732395312,76.10354155348445
IND,India,Manipur,24.729925048564787,93.88470042785607
IND,India,Meghalaya,25.5359779070079,91.27506587646585
IND,India,Mizoram,23.298639488894533,92.8326286323749
IND,India,NCT of Delhi,28.630747440702745,77.11715516536093
IND,India,Nagaland,26.04692161278049,94.46886014882084
IND,India,Odisha,20.502011769219692,84.42651467887445
IND,India,Puducherry,11.805381918727996,78.39191613858853
IND,India,Punjab,30.842940042075817,75.4141271112025
IND,India,Rajasthan,26.58483153072037,73.85196264821795
IND,India,Sikkim,27.58805090775203,88.471363608229
IND,India,Tamil Nadu,11.009046849284646,78.40457527546323
IND,India,Telangana,17.79137100983021,79.0680810222621
IND,India,Tripura,23.74621714163314,91.71330472913192
IND,India,Uttar Pradesh,26.925530470276712,80.55702620798208
